Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-14.113851547241211,-0.69469442658283231,-0.44203606530342499,-15.250582039127469
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00013999813258212742,-0.0037455108919956892,-0.0038855090245778169
20,21 Mining,0,-0.00022187165896539151,-0.0001226067438403081,-0.00034447840280569955
41,22 Utilities,0,-5.812379214042465E-06,-1.7035021219354601E-05,-2.2847400433397066E-05
52,23 Construction,0,-0.00076213539854709956,-0.0010416274174498419,-0.0018037628159969414
65,31-33 Manufacturing,0,-0.01736323285022183,-0.0047244005072072763,-0.022087633357429116
395,42 Wholesale Trade,-14.113851547241211,-0.02925534864865283,-0.016258071701338091,-14.159364967591202
396,44-45 Retail trade,0,-0.0035564855137398743,-0.080682141405722552,-0.084238626919462434
408,48-49 Transportation & Warehousing,0,-0.16976291339990399,-0.020376038854022741,-0.19013895225392671
417,51-56 Professional Services,0,-0.42945554441590555,-0.10770887973909281,-0.53716442415499843
472,"61-81 Education, Health, Recreation Service",0,-0.030971235731518523,-0.2068140099580337,-0.2377852456895522
518,92 Government & non NAICs,0,-0.013199848453581027,-0.00054574306350264206,-0.013745591517083669
