Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-2604100.1380163101,-119201.83012610432,-146218.8998811887,-2869520.8680236032
1,"11 Ag, Forestry, Fish & Hunting",0,-8.7485694155095945,-136.16132775054379,-144.90989716605338
20,21 Mining,0,-40.703486550538457,-24.494413892629161,-65.197900443167626
41,22 Utilities,0,-1.1368658302836801,-3.3319459775874467,-4.468811807871127
52,23 Construction,0,-80.764524610513547,-119.28391170175236,-200.04843631226589
65,31-33 Manufacturing,0,-2423.8824421113122,-1810.7722359605882,-4234.6546780719
395,42 Wholesale Trade,-2604100.1380163101,-5397.807741144672,-2999.7231049785833,-2612497.6688624332
396,44-45 Retail trade,0,-130.37042452199611,-3445.6367170491367,-3576.0071415711327
408,48-49 Transportation & Warehousing,0,-25545.319208551606,-3555.0207572462468,-29100.339965797852
417,51-56 Professional Services,0,-82752.531978545856,-120547.18704754193,-203299.71902608775
472,"61-81 Education, Health, Recreation Service",0,-1617.2778226581754,-13527.53894129171,-15144.816763949888
518,92 Government & non NAICs,0,-1203.2870621638572,-49.749477798000271,-1253.0365399618574
