Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-6.1749114990234375,-0.37888048689486198,-0.16824109801402465,-6.7220330839323239
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00011658792913065086,-0.0036764522230647661,-0.0037930401521954166
20,21 Mining,0,-1.9692071796166957E-05,-2.2212315660760849E-05,-4.1904387456927806E-05
41,22 Utilities,0,-0.004059725877560762,-0.002282844404102521,-0.0063425702816632835
52,23 Construction,0,-0.00033036543420487166,-0.0003663407638608783,-0.00069670619806574995
65,31-33 Manufacturing,0,-0.0044594555536856054,-0.00044232800042140068,-0.0049017835541070049
395,42 Wholesale Trade,-6.1749114990234375,-0.0088340184002090802,-0.0035896124033729586,-6.1873351298270194
396,44-45 Retail trade,0,-0.0018378657055854156,-0.028432221935834268,-0.030270087641419682
408,48-49 Transportation & Warehousing,0,-0.035760522318284887,-0.0075859341745819625,-0.04334645649286685
417,51-56 Professional Services,0,-0.29907545102130934,-0.052319372201029904,-0.35139482322233945
472,"61-81 Education, Health, Recreation Service",0,-0.015494210022736175,-0.067795411227199051,-0.08328962124993522
518,92 Government & non NAICs,0,-0.0088925925603590417,-0.0017283683648961889,-0.010620960925255232
