Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-961518.08065901801,-45328.355288330087,-48370.892704870552,-1055217.3286522187
1,"11 Ag, Forestry, Fish & Hunting",0,-13.568279740219806,-305.3164931482529,-318.88477288847281
20,21 Mining,0,-4.1019026575160416,-4.627554265393778,-8.7294569229098187
41,22 Utilities,0,-7424.7854288600411,-4175.0675733109019,-11599.853002170943
52,23 Construction,0,-29.515962374382038,-35.455123815434348,-64.97108618981639
65,31-33 Manufacturing,0,-538.43024778597874,-69.64747625852543,-608.07772404450407
395,42 Wholesale Trade,-961518.08065901801,-1375.577269314439,-558.9516575618801,-963452.60958589439
396,44-45 Retail trade,0,-45.310876459678823,-900.35970514455357,-945.67058160423244
408,48-49 Transportation & Warehousing,0,-3310.1958489058356,-1141.4211992843193,-4451.6170481901554
417,51-56 Professional Services,0,-31066.431305897433,-37592.861715857653,-68659.29302175506
472,"61-81 Education, Health, Recreation Service",0,-856.23336976443954,-3505.1206215934926,-4361.3539913579334
518,92 Government & non NAICs,0,-664.20479657012208,-82.063584630147488,-746.26838120026957
