Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-3.4072177410125732,-0.20361650735946738,-0.049547199373625138,-3.660381447745666
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00013056847466943848,-0.0012447499913516968,-0.0013753184660211353
20,21 Mining,0,-8.7924812407212338E-05,-5.2587378120926764E-05,-0.00014051219052813911
41,22 Utilities,0,0,0,0
52,23 Construction,0,-0.00021889391423138226,-0.00010264924348830512,-0.00032154315771968739
65,31-33 Manufacturing,0,-0.0061633947009917082,-0.00019524716107794784,-0.0063586418620696595
395,42 Wholesale Trade,-3.4072177410125732,-0.012179474097648385,-0.0021475867530740397,-3.4215448018632957
396,44-45 Retail trade,0,-0.0015723552154959014,-0.009593198004320784,-0.011165553219816684
408,48-49 Transportation & Warehousing,0,-0.033370785285595936,-0.0045553964368069662,-0.037926181722402905
417,51-56 Professional Services,0,-0.12892245693825194,-0.011873467740598855,-0.1407959246788508
472,"61-81 Education, Health, Recreation Service",0,-0.016163864888205814,-0.019713405188933629,-0.035877270077139443
518,92 Government & non NAICs,0,-0.0048067890319696532,-6.8911475851989598E-05,-0.0048757005078216425
