Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1432804.8011676599,-33308.214069876631,-57995.728724146291,-1524108.743961683
1,"11 Ag, Forestry, Fish & Hunting",0,-6.2453896958061401,-461.30357993958717,-467.54896963539318
20,21 Mining,0,-47.867061460948428,-79.375445461679192,-127.24250692262761
41,22 Utilities,0,0,0,0
52,23 Construction,0,-16.875651598914658,-15.447497454029971,-32.323149052944629
65,31-33 Manufacturing,0,-388.35974792055077,-329.01119666910483,-717.37094458965566
395,42 Wholesale Trade,-1432804.8011676599,-3047.9909988446161,-1233.7746528911798,-1437086.5668193956
396,44-45 Retail trade,0,-78.560442641831372,-888.86594408038707,-967.42638672221847
408,48-49 Transportation & Warehousing,0,-3753.0851437598753,-1414.7753951345578,-5167.8605388944343
417,51-56 Professional Services,0,-25527.879255723434,-51816.873584052708,-77344.752839776149
472,"61-81 Education, Health, Recreation Service",0,-404.51215096926694,-1755.182461654799,-2159.6946126240659
518,92 Government & non NAICs,0,-36.838227261382293,-1.1189668082583935,-37.957194069640686
