Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.3449867963790894,-0.053584169861473255,-0.029382237108803947,-1.4279532033493665
1,"11 Ag, Forestry, Fish & Hunting",0,-4.5970204121156365E-10,-0.00011847067785132663,-0.00011847113755336784
20,21 Mining,0,-8.0905949417004377E-05,-6.2361052778787222E-05,-0.00014326700219579157
41,22 Utilities,0,-0.00014269253906864886,-0.00023637258790363419,-0.00037906512697228305
52,23 Construction,0,-6.7236218917289249E-05,-5.8887573231599172E-05,-0.00012612379214888843
65,31-33 Manufacturing,0,-0.0016051797505177684,-0.00017190549094200545,-0.0017770852414597737
395,42 Wholesale Trade,-1.3449867963790894,-0.0024091923618952786,-0.00069489815370273012,-1.3480908868946873
396,44-45 Retail trade,0,-0.0003921293827360853,-0.003918729445993625,-0.0043108588287297097
408,48-49 Transportation & Warehousing,0,-0.009480677937783278,-0.0038001653929331833,-0.013280843330716458
417,51-56 Professional Services,0,-0.032080259860590557,-0.0054921783494244099,-0.037572438210014956
472,"61-81 Education, Health, Recreation Service",0,-0.0058302717514811791,-0.014794307995245073,-0.020624579746726247
518,92 Government & non NAICs,0,-0.00149562364936412,-3.3960388797572953E-05,-0.0015295840381616928
