Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-180556.25503657799,-5606.2783509152405,-6469.6021451073275,-192632.13553260054
1,"11 Ag, Forestry, Fish & Hunting",0,-3.5883234601110411E-05,-3.2317204043150731,-3.2317562875496741
20,21 Mining,0,-16.909122373345895,-13.085843252068722,-29.994965625414615
41,22 Utilities,0,-115.85060981998363,-191.90848121491067,-307.75909103489431
52,23 Construction,0,-5.1512478092695719,-5.0040521793209862,-10.155299988590558
65,31-33 Manufacturing,0,-275.28912677287087,-38.242663887770291,-313.53179066064126
395,42 Wholesale Trade,-180556.25503657799,-323.41936685796827,-93.285834894688719,-180972.96023833065
396,44-45 Retail trade,0,-23.831709808521829,-225.27257927822058,-249.10428908674237
408,48-49 Transportation & Warehousing,0,-787.60297554039812,-248.70150142011661,-1036.3044769605149
417,51-56 Professional Services,0,-3686.6934403149453,-4924.524155192662,-8611.2175955076036
472,"61-81 Education, Health, Recreation Service",0,-258.08712409276001,-723.76940568054295,-981.85652977330324
518,92 Government & non NAICs,0,-113.44359164194216,-2.5759077027107868,-116.01949934465296
