Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-2.6753132343292236,-0.57274349682416359,-0.43939741438869645,-3.6874541455420835
1,"11 Ag, Forestry, Fish & Hunting",0,-2.6840884943308256E-05,-0.00042897265360231248,-0.00045581353854562065
20,21 Mining,0,-4.7740399898458417E-05,-0.00010928420138910996,-0.00015702460128756839
41,22 Utilities,0,-0.0024022808005579057,-0.0015570181936533872,-0.0039592989942112931
52,23 Construction,0,-0.0018705040912674283,-0.002214155831093727,-0.0040846599223611554
65,31-33 Manufacturing,0,-0.0077514797358303831,-0.00070916644259990357,-0.0084606461784302832
395,42 Wholesale Trade,-2.6753132343292236,-0.0065685212226933489,-0.0027683732013236966,-2.6846501287532405
396,44-45 Retail trade,0,-0.0062295035141458465,-0.094572202263519992,-0.10080170577766585
408,48-49 Transportation & Warehousing,0,-0.094698000529019916,-0.010224347220229402,-0.10492234774924933
417,51-56 Professional Services,0,-0.3256811986783455,-0.089628438294403964,-0.41530963697274964
472,"61-81 Education, Health, Recreation Service",0,-0.085386556789281046,-0.23528207317777208,-0.32066862996705314
518,92 Government & non NAICs,0,-0.042080870178180352,-0.0019033829091089146,-0.043984253087289267
