Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-385292.55278067198,-55688.925072891121,-44214.372659701898,-485195.85051326494
1,"11 Ag, Forestry, Fish & Hunting",0,-2.1649712168544113,-38.257993449401511,-40.422964666255929
20,21 Mining,0,-10.452324114367103,-23.841222794166395,-34.2935469085335
41,22 Utilities,0,-2528.2325686704739,-1598.2127086601249,-4126.4452773305993
52,23 Construction,0,-177.8795276460969,-225.49350259637609,-403.37303024247296
65,31-33 Manufacturing,0,-869.49400465095437,-103.11700738940019,-972.61101204035458
395,42 Wholesale Trade,-385292.55278067198,-945.9835788095952,-398.69485074068808,-386637.23121022223
396,44-45 Retail trade,0,-267.85546850088826,-4227.5877456589596,-4495.4432141598481
408,48-49 Transportation & Warehousing,0,-8744.0412101863476,-1254.6856645529351,-9998.7268747392827
417,51-56 Professional Services,0,-34643.488970357721,-24034.418209850857,-58677.907180208575
472,"61-81 Education, Health, Recreation Service",0,-4119.1171136084786,-12157.171381043541,-16276.288494652019
518,92 Government & non NAICs,0,-3380.2153351293355,-152.89237296545014,-3533.1077080947857
