Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-723233.77184908395,-89386.095243476084,-78094.598200188324,-890714.46529274841
1,"11 Ag, Forestry, Fish & Hunting",0,-19.755914798725954,-309.68713373321668,-329.44304853194262
20,21 Mining,0,-28.541302115690286,-36.171421680349468,-64.712723796039754
41,22 Utilities,0,-6983.2682203155782,-5233.2103175240554,-12216.478537839634
52,23 Construction,0,-258.30904719660543,-370.1111558911789,-628.42020308778433
65,31-33 Manufacturing,0,-7087.0658225409998,-1166.7340716701553,-8253.7998942111553
395,42 Wholesale Trade,-723233.77184908395,-4901.5624996619299,-2335.7619960414195,-730471.09634478728
396,44-45 Retail trade,0,-442.93132333955958,-6962.3911003887079,-7405.3224237282666
408,48-49 Transportation & Warehousing,0,-16702.980089279139,-3559.5222267442277,-20262.502316023369
417,51-56 Professional Services,0,-41798.26084060892,-40428.40663478239,-82226.667475391296
472,"61-81 Education, Health, Recreation Service",0,-4353.3593089548276,-17211.313394448487,-21564.672703403314
518,92 Government & non NAICs,0,-6810.0608746641265,-481.28874728413837,-7291.349621948264
