Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-10203607.618155399,-1369993.4605134318,-1573430.3370239362,-13147031.415692765
1,"11 Ag, Forestry, Fish & Hunting",0,-12.235262545439348,-356.65505158163126,-368.89031412707061
20,21 Mining,0,-230.75419574669559,-499.86131390457354,-730.61550965126912
41,22 Utilities,0,-2104.8352158723928,-6479.3161178334822,-8584.151333705875
52,23 Construction,0,-4467.8018433164098,-5371.3410873461398,-9839.1429306625505
65,31-33 Manufacturing,0,-21889.454002215949,-16850.415592170557,-38739.869594386517
395,42 Wholesale Trade,-10203607.618155399,-64518.422518039122,-44554.894885162641,-10312680.9355586
396,44-45 Retail trade,0,-3590.757529310391,-99901.433644479752,-103492.19117379015
408,48-49 Transportation & Warehousing,0,-148125.09299567103,-28227.954735680167,-176353.0477313512
417,51-56 Professional Services,0,-1006943.6312662622,-997955.52625755058,-2004899.157523813
472,"61-81 Education, Health, Recreation Service",0,-53914.11429685964,-359907.18085229065,-413821.29514915019
518,92 Government & non NAICs,0,-64196.361387592449,-13325.757485935848,-77522.118873528307
