Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.0805522203445435,-0.21399238431027867,-0.12665693209531095,-1.4212015367501334
1,"11 Ag, Forestry, Fish & Hunting",0,-6.3586860872179651E-05,-0.00026023984598114928,-0.00032382670685332895
20,21 Mining,0,-0.00010063910992734183,-5.8656036275915074E-05,-0.00015929514620325691
41,22 Utilities,0,-0.00060701811361987628,-0.00049832315926821077,-0.0011053412728880871
52,23 Construction,0,-0.0006177608686937611,-0.00036724670115251815,-0.0009850075698462793
65,31-33 Manufacturing,0,-0.0024586687629094455,-0.00025371964884835977,-0.0027123884117578054
395,42 Wholesale Trade,-1.0805522203445435,-0.0018259081531770067,-0.00071423278709333233,-1.0830923612848138
396,44-45 Retail trade,0,-0.0014030402361047305,-0.022777778528707285,-0.024180818764812016
408,48-49 Transportation & Warehousing,0,-0.016386787267489433,-0.0031703037157979454,-0.019557090983287378
417,51-56 Professional Services,0,-0.13722755791248417,-0.02826316479714093,-0.16549072270962512
472,"61-81 Education, Health, Recreation Service",0,-0.012861174184691479,-0.060320805421963497,-0.07318197960665497
518,92 Government & non NAICs,0,-0.040440242840309219,-0.0099724614530818153,-0.050412704293391036
