Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-156488.34910399001,-25604.191037033153,-15335.051872375918,-197427.59201339909
1,"11 Ag, Forestry, Fish & Hunting",0,-7.7290929908091561,-34.049015160301543,-41.778108151110693
20,21 Mining,0,-23.03909403164916,-13.431633988544478,-36.47072802019364
41,22 Utilities,0,-1003.2452818481474,-679.10500731187676,-1682.3502891600242
52,23 Construction,0,-51.272955439023988,-31.570730048591848,-82.843685487615829
65,31-33 Manufacturing,0,-300.39442912107324,-35.582326844833233,-335.97675596590648
395,42 Wholesale Trade,-156488.34910399001,-264.43271023620036,-103.43702737841704,-156856.21884160463
396,44-45 Retail trade,0,-67.664730495832231,-1050.1673345825082,-1117.8320650783401
408,48-49 Transportation & Warehousing,0,-1257.586923913176,-201.96694037977338,-1459.5538642929494
417,51-56 Professional Services,0,-16419.330263756478,-8692.225839657518,-25111.556103414001
472,"61-81 Education, Health, Recreation Service",0,-684.89272433819542,-2894.6262515966669,-3579.5189759348618
518,92 Government & non NAICs,0,-5524.6028308625682,-1598.8897654268881,-7123.4925962894558
