Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1818474.36047362,-465184.36379098019,-314426.50178339664,-2598085.2260479969
1,"11 Ag, Forestry, Fish & Hunting",0,-20.18786631577731,-820.29865892478597,-840.48652524056342
20,21 Mining,0,-2621.6954914379457,-2229.7507043592936,-4851.4461957972389
41,22 Utilities,0,-17908.533151497613,-11627.326446169069,-29535.85959766668
52,23 Construction,0,-1670.6527635866996,-1383.2049235456279,-3053.8576871323276
65,31-33 Manufacturing,0,-8425.4847617754167,-5777.3631275140069,-14202.847889289427
395,42 Wholesale Trade,-1818474.36047362,-19057.912221750943,-8529.7813948757266,-1846062.0540902468
396,44-45 Retail trade,0,-1634.2684410506697,-22382.403067855219,-24016.671508905885
408,48-49 Transportation & Warehousing,0,-32711.108921678533,-4507.3539351128984,-37218.462856791433
417,51-56 Professional Services,0,-344841.32907286135,-181297.91196096258,-526139.24103382381
472,"61-81 Education, Health, Recreation Service",0,-19374.454939475323,-74564.668833554795,-93939.123773030107
518,92 Government & non NAICs,0,-16918.736159549888,-1306.4387305226262,-18225.174890072514
