Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-257696.71907308101,-29742.141510208065,-27983.015584166427,-315421.87616745551
1,"11 Ag, Forestry, Fish & Hunting",0,-7.8155610954299002,-149.96449769200723,-157.78005878743707
20,21 Mining,0,-42.692880065185527,-41.013648756137712,-83.706528821323232
41,22 Utilities,0,-2407.0464539000409,-1500.4659306293247,-3907.5123845293656
52,23 Construction,0,-123.69556952442292,-150.79924693139549,-274.49481645581841
65,31-33 Manufacturing,0,-585.17055436484998,-132.54551767958031,-717.71607204443023
395,42 Wholesale Trade,-257696.71907308101,-879.84701764251804,-341.77821433209232,-258918.34430505562
396,44-45 Retail trade,0,-180.79770605155761,-2586.4142069464106,-2767.2119129979683
408,48-49 Transportation & Warehousing,0,-2564.8066709836817,-224.55673837350904,-2789.3634093571909
417,51-56 Professional Services,0,-18501.091179913383,-14604.728404514979,-33105.819584428369
472,"61-81 Education, Health, Recreation Service",0,-1831.429952219763,-8146.9138585282535,-9978.3438107480142
518,92 Government & non NAICs,0,-2617.7479644472342,-103.83531978273905,-2721.5832842299733
