Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-3.7908968925476074,-0.5972292871925865,-0.44845733184096637,-4.8365835115811606
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00014410676132549914,-0.0043702192575500315,-0.0045143260188755321
20,21 Mining,0,-0.00024386975051759069,-0.00032650813589626569,-0.00057037788641385633
41,22 Utilities,0,-0.001987465386648376,-0.0012685367948098286,-0.0032560021814582044
52,23 Construction,0,-0.0010451912324116349,-0.0013087486816905879,-0.0023539399141022229
65,31-33 Manufacturing,0,-0.013283101956112285,-0.0013671883174194951,-0.014650290273531787
395,42 Wholesale Trade,-3.7908968925476074,-0.0056461651377985285,-0.0028515940646499263,-3.7993946517500561
396,44-45 Retail trade,0,-0.0038289637881602943,-0.083346226201211446,-0.087175189989371737
408,48-49 Transportation & Warehousing,0,-0.053905129995531098,-0.014886957919692793,-0.068792087915223871
417,51-56 Professional Services,0,-0.43956011784976928,-0.12649709496292869,-0.56605721281269794
472,"61-81 Education, Health, Recreation Service",0,-0.038966232638415962,-0.20784597492277429,-0.24681220756119029
518,92 Government & non NAICs,0,-0.038618942695895921,-0.0043882825823430092,-0.043007225278238935
