Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-6080256.9686273402,-439084.96289532888,-336242.27376799163,-6855584.2052906603
1,"11 Ag, Forestry, Fish & Hunting",0,-11.712269048932157,-187.30546453241118,-199.01773358134332
20,21 Mining,0,-295.14369039909741,-438.04285496813333,-733.18654536723079
41,22 Utilities,0,-10712.89397126308,-6015.8004025085129,-16728.694373771592
52,23 Construction,0,-206.29836318311808,-168.49095227717706,-374.78931546029514
65,31-33 Manufacturing,0,-4215.9128915144001,-3832.412541097211,-8048.325432611613
395,42 Wholesale Trade,-6080256.9686273402,-26878.61551852338,-11486.973013475499,-6118622.5571593391
396,44-45 Retail trade,0,-342.78135590265236,-5688.9370211527294,-6031.718377055382
408,48-49 Transportation & Warehousing,0,-38807.536519092573,-11834.686221180331,-50642.222740272904
417,51-56 Professional Services,0,-342596.6781459066,-267684.5780254479,-610281.25617135444
472,"61-81 Education, Health, Recreation Service",0,-4389.3953234842011,-25560.058536105917,-29949.453859590118
518,92 Government & non NAICs,0,-10627.994847010814,-3344.9887352458554,-13972.983582256671
