Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-0.93955594301223755,-0.21852770664359236,-0.064532253157314493,-1.2226159028131445
1,"11 Ag, Forestry, Fish & Hunting",0,-5.5112728595210955E-05,-0.00028145558668541418,-0.0003365683152806251
20,21 Mining,0,-0.00021374174618513352,-0.00015333229944539847,-0.00036707404563053196
41,22 Utilities,0,-0.0012867200609903214,-0.00057455535419614619,-0.0018612754151864674
52,23 Construction,0,-0.00032805074569961255,-0.00023798750624959216,-0.00056603825194920471
65,31-33 Manufacturing,0,-0.0028954715150001772,-0.00027309471852247105,-0.0031685662335226481
395,42 Wholesale Trade,-0.93955594301223755,-0.00189958443641083,-0.00049448512448701848,-0.94195001257313538
396,44-45 Retail trade,0,-0.0012679436462551242,-0.013378638885499932,-0.014646582531755057
408,48-49 Transportation & Warehousing,0,-0.0066042016285285249,-0.0014660509854294809,-0.0080702526139580059
417,51-56 Professional Services,0,-0.16786423210210885,-0.020897399344567462,-0.18876163144667635
472,"61-81 Education, Health, Recreation Service",0,-0.019199537430647187,-0.025209266997398224,-0.044408804428045422
518,92 Government & non NAICs,0,-0.016913110603171373,-0.0015659863548333453,-0.018479096958004718
