Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-7.5172896385192871,-0.50278161959594592,-0.22996780913925649,-8.2500390672544892
1,"11 Ag, Forestry, Fish & Hunting",0,-0.000299702909470023,-0.0083404662641974048,-0.0086401691736674273
20,21 Mining,0,-0.0015050632636645904,-0.0014915515216773034,-0.0029966147853418938
41,22 Utilities,0,-0.0021650387295232562,-0.0016600703004694345,-0.0038251090299926908
52,23 Construction,0,-0.00086078035687530796,-0.00057611486980980314,-0.0014368952266851113
65,31-33 Manufacturing,0,-0.0021991363716075919,-0.0030569171763691737,-0.0052560535479767648
395,42 Wholesale Trade,-7.5172896385192871,-0.034648895678708255,-0.013076432022528627,-7.5650149662205237
396,44-45 Retail trade,0,-0.0020723088344328584,-0.029866144918063178,-0.031938453752496036
408,48-49 Transportation & Warehousing,0,-0.061116925195510471,-0.02168012137610742,-0.082797046571617877
417,51-56 Professional Services,0,-0.29810132757712932,-0.055057759876299316,-0.35315908745342844
472,"61-81 Education, Health, Recreation Service",0,-0.014716537202799944,-0.062137069462392586,-0.076853606665192545
518,92 Government & non NAICs,0,-0.085095903476224352,-0.03302516135134223,-0.11812106482756658
