Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-7326569.2493971596,-565024.88873530203,-644707.13814284292,-8536301.2762753051
1,"11 Ag, Forestry, Fish & Hunting",0,-55.468701857798401,-503.57144925349775,-559.04015111129615
20,21 Mining,0,-226.86285800360358,-321.94526198549357,-548.80811998909735
41,22 Utilities,0,-184.58508624053587,-484.51705150833988,-669.10213774887575
52,23 Construction,0,-772.6795718978658,-1003.0225353672739,-1775.7021072651396
65,31-33 Manufacturing,0,-10155.330319451925,-12632.286782262576,-22787.617101714517
395,42 Wholesale Trade,-7326569.2493971596,-45277.676160097122,-23915.717401172882,-7395762.6429584296
396,44-45 Retail trade,0,-1145.2790950742747,-23713.847380269901,-24859.126475344176
408,48-49 Transportation & Warehousing,0,-41439.32016950885,-14091.991843697235,-55531.312013206094
417,51-56 Professional Services,0,-431562.70155079605,-470218.61609754397,-901781.31764834013
472,"61-81 Education, Health, Recreation Service",0,-15059.187247997666,-95847.569945755517,-110906.75719375318
518,92 Government & non NAICs,0,-19145.797974376368,-1974.0523940261976,-21119.850368402564
