Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-330884.28905949299,-8000.556772720417,-17298.662421344412,-356183.50825355778
1,"11 Ag, Forestry, Fish & Hunting",0,-1.955287171934567,-211.2138674898014,-213.16915466173597
20,21 Mining,0,-25.243168521314363,-35.830571538370926,-61.073740059685292
41,22 Utilities,0,-1901.210426234388,-2018.2395272165943,-3919.4499534509823
52,23 Construction,0,-8.3790129041737593,-15.350282779761169,-23.729295683934929
65,31-33 Manufacturing,0,-73.360800819661989,-33.312378575116043,-106.67317939477803
395,42 Wholesale Trade,-330884.28905949299,-657.10560935043031,-371.48401566674426,-331912.87868451019
396,44-45 Retail trade,0,-18.678839786910494,-419.30976599646169,-437.98860578337218
408,48-49 Transportation & Warehousing,0,-1619.6861298305166,-590.64900234716549,-2210.3351321776822
417,51-56 Professional Services,0,-3250.7035470598526,-12507.432478541061,-15758.136025600919
472,"61-81 Education, Health, Recreation Service",0,-209.32846899309945,-895.59448279346714,-1104.9229517865663
518,92 Government & non NAICs,0,-234.90548204813405,-200.2460483998681,-435.15153044800218
