Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-185.00022888183594,-54.390501103460899,-44.740397076299864,-284.13112706159671
1,"11 Ag, Forestry, Fish & Hunting",0,-0.0060777609942878168,-0.12789742837252224,-0.13397518936681005
20,21 Mining,0,-0.010404988295173133,-0.016852048654324485,-0.027257036949497621
41,22 Utilities,0,-0.045701468181870854,-0.086313949268297857,-0.1320154174501687
52,23 Construction,0,-0.20189627355472062,-0.21099118454994426,-0.41288745810466487
65,31-33 Manufacturing,0,-1.2555150723660136,-0.47739214437286731,-1.7329072167388806
395,42 Wholesale Trade,-185.00022888183594,-2.6023420749007951,-1.5976061434564923,-189.20017710019323
396,44-45 Retail trade,0,-0.31402197531969561,-6.6140577238423548,-6.9280796991620504
408,48-49 Transportation & Warehousing,0,-5.9376631716681043,-1.016535629177542,-6.9541988008456457
417,51-56 Professional Services,0,-37.327681510267425,-11.893699952291858,-49.221381462559293
472,"61-81 Education, Health, Recreation Service",0,-4.4115147512019357,-22.462271025577987,-26.873785776779926
518,92 Government & non NAICs,0,-2.2776820567108813,-0.23677984673567584,-2.5144619034465574
