Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-185046.55244484701,-5496.5655816744411,-6777.482765413808,-197320.60079193523
1,"11 Ag, Forestry, Fish & Hunting",0,-1.275392539846034,-38.821669288806028,-40.097061828652059
20,21 Mining,0,-14.510280976167117,-15.003495464426148,-29.513776440593265
41,22 Utilities,0,-220.18367927411055,-124.68082429267399,-344.86450356678455
52,23 Construction,0,-3.9597329886987023,-5.0446108395764524,-9.0043438282751538
65,31-33 Manufacturing,0,-7.5741222525092695,-19.685176403939398,-27.259298656448671
395,42 Wholesale Trade,-185046.55244484701,-233.3208781730209,-88.520185108980044,-185368.393508129
396,44-45 Retail trade,0,-13.897544170954843,-194.88996822806894,-208.78751239902377
408,48-49 Transportation & Warehousing,0,-843.96706854728313,-232.86118102236287,-1076.828249569646
417,51-56 Professional Services,0,-3973.7012149344823,-5497.6818426100526,-9471.3830575445336
472,"61-81 Education, Health, Recreation Service",0,-114.47525275594177,-558.34148674732239,-672.81673950326422
518,92 Government & non NAICs,0,-69.700415061426327,-1.9523254075995034,-71.652740469025829
