Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-745503.80195456895,-25412.696100507204,-31923.654142650244,-802840.15219772619
1,"11 Ag, Forestry, Fish & Hunting",0,-3.3158972957517663,-67.015414373821258,-70.331311669573012
20,21 Mining,0,-17.251634661307044,-71.403119928985561,-88.654754590292612
41,22 Utilities,0,-354.14989500610051,-686.91013906708224,-1041.0600340731828
52,23 Construction,0,-10.599083215663478,-8.200844099869661,-18.799927315533139
65,31-33 Manufacturing,0,-132.10188110867031,-64.02594152889526,-196.12782263756569
395,42 Wholesale Trade,-745503.80195456895,-907.28382040909491,-317.12122976098141,-746728.20700473897
396,44-45 Retail trade,0,-23.108022318523833,-286.84974508167619,-309.95776740020005
408,48-49 Transportation & Warehousing,0,-3025.4562414230995,-634.27150403995688,-3659.7277454630557
417,51-56 Professional Services,0,-20403.467252734492,-28816.981391022182,-49220.448643756681
472,"61-81 Education, Health, Recreation Service",0,-203.43290311794962,-707.09597084711493,-910.52887396506435
518,92 Government & non NAICs,0,-332.52946921655132,-263.7788428996738,-596.30831211622512
