Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-166330.461128444,-31959.438025843152,-9808.279724940192,-208098.17887922732
1,"11 Ag, Forestry, Fish & Hunting",0,-3.74039522770734,-38.638473261419684,-42.378868489127022
20,21 Mining,0,-89.50969678598986,-30.792575404586355,-120.30227219057622
41,22 Utilities,0,-731.25561804826737,-188.98472020048254,-920.24033824874994
52,23 Construction,0,-177.30144547394971,-58.533307628832574,-235.83475310278229
65,31-33 Manufacturing,0,-60.231865089186094,-4.6742543087847537,-64.906119397970869
395,42 Wholesale Trade,-166330.461128444,-180.71363243157975,-39.556692622226052,-166550.73145349781
396,44-45 Retail trade,0,-60.156024704346734,-527.45624653854622,-587.61227124289303
408,48-49 Transportation & Warehousing,0,-863.42146792303311,-117.20629289078543,-980.62776081381867
417,51-56 Professional Services,0,-21874.309334821271,-6027.2429298055185,-27901.552264626785
472,"61-81 Education, Health, Recreation Service",0,-1300.0286146953088,-1583.3004609047105,-2883.3290756000192
518,92 Government & non NAICs,0,-6618.7699306425129,-1191.8937713743003,-7810.6637020168127
