Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.9691506624221802,-0.051550807863087994,-0.029118978487054796,-2.0498204487723228
1,"11 Ag, Forestry, Fish & Hunting",0,-4.000632800720285E-05,-0.0022384388650051501,-0.0022784451930123531
20,21 Mining,0,-0.00019981113630206936,-0.00025770464841127903,-0.00045751578471334847
41,22 Utilities,0,0,0,0
52,23 Construction,0,-5.3945754374911191E-05,-5.2089527610660025E-05,-0.00010603528198557122
65,31-33 Manufacturing,0,-0.00054070056344657604,-0.00029082558210391973,-0.00083152614555049588
395,42 Wholesale Trade,-1.9691506624221802,-0.0030420094149426757,-0.00087680017081091159,-1.9730694720079336
396,44-45 Retail trade,0,-0.00045222028202461143,-0.005193390790765879,-0.0056456110727904907
408,48-49 Transportation & Warehousing,0,-0.0056581693445717325,-0.0024716501143272774,-0.0081298194588990107
417,51-56 Professional Services,0,-0.036074102641520528,-0.0065620693402247418,-0.042636171981745276
472,"61-81 Education, Health, Recreation Service",0,-0.002737603525960555,-0.011117834441425275,-0.013855437967385829
518,92 Government & non NAICs,0,-0.0027522388719371294,-5.8175006369705047E-05,-0.0028104138783068347
