Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-923442.11065147305,-179138.49921046171,-171737.00316050276,-1274317.6130224376
1,"11 Ag, Forestry, Fish & Hunting",0,-5.8324157237957879,-128.23881320206542,-134.07122892586122
20,21 Mining,0,-192.80138929119246,-117.80651039106391,-310.60789968225635
41,22 Utilities,0,-8012.1260387901157,-5613.5675410520289,-13625.693579842146
52,23 Construction,0,-819.94192896667573,-997.68995176568524,-1817.631880732361
65,31-33 Manufacturing,0,-1797.3516552231586,-580.52448584896479,-2377.8761410721236
395,42 Wholesale Trade,-923442.11065147305,-3577.2532019293867,-1833.3469998086268,-928852.71085321112
396,44-45 Retail trade,0,-793.32254453686312,-15195.70250668924,-15989.025051226103
408,48-49 Transportation & Warehousing,0,-23622.98515895733,-2417.9033387143127,-26040.888497671644
417,51-56 Professional Services,0,-116475.79516396929,-85892.569066418757,-202368.36423038811
472,"61-81 Education, Health, Recreation Service",0,-9552.8105827199015,-54307.734571390218,-63860.545154110128
518,92 Government & non NAICs,0,-14288.279130353998,-4651.9193752217907,-18940.19850557579
