Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-475746.77114219603,-25080.269748707207,-48143.212219155503,-548970.25311005872
1,"11 Ag, Forestry, Fish & Hunting",0,-5.8918296877783485,-487.75586040595425,-493.64769009373254
20,21 Mining,0,-172.26493457278721,-318.55148464974633,-490.81641922253357
41,22 Utilities,0,-3356.4540996972009,-4248.9529577517487,-7605.4070574489497
52,23 Construction,0,-26.59631276423853,-70.289314748358876,-96.885627512597395
65,31-33 Manufacturing,0,-261.77898811046447,-143.97256313738524,-405.75155124784982
395,42 Wholesale Trade,-475746.77114219603,-612.78866078751162,-515.79071518476485,-476875.3505181683
396,44-45 Retail trade,0,-54.103313275237191,-1942.6688098352415,-1996.772123110479
408,48-49 Transportation & Warehousing,0,-2931.268613658679,-1027.2234717713288,-3958.492085430008
417,51-56 Professional Services,0,-15851.115017105321,-33701.033935854874,-49552.148952960189
472,"61-81 Education, Health, Recreation Service",0,-1020.1156543430831,-5392.1742154655794,-6412.2898698086638
518,92 Government & non NAICs,0,-787.89232470490424,-294.79889035052412,-1082.6912150554283
