Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-324323.43208387698,-14600.684823343332,-12067.79947311417,-350991.91638033453
1,"11 Ag, Forestry, Fish & Hunting",0,-7.4024085926397172,-243.90252962337658,-251.3049382160163
20,21 Mining,0,-27.510839619239668,-23.309265041956106,-50.820104661195778
41,22 Utilities,0,-186.63239619475877,-273.02659092411955,-459.65898711887831
52,23 Construction,0,-3.818694860215305,-3.0877153534868884,-6.906410213702193
65,31-33 Manufacturing,0,-60.741050516136404,-196.1601226639018,-256.90117318003826
395,42 Wholesale Trade,-324323.43208387698,-615.77550206182059,-167.39276110259743,-325106.60034704139
396,44-45 Retail trade,0,-46.000548040425684,-382.30526026612426,-428.30580830654992
408,48-49 Transportation & Warehousing,0,-3337.6565395906032,-495.28042892413498,-3832.9369685147385
417,51-56 Professional Services,0,-9997.1977179630212,-9586.5499301776454,-19583.747648140667
472,"61-81 Education, Health, Recreation Service",0,-189.17668766098089,-693.93012335678009,-883.10681101776117
518,92 Government & non NAICs,0,-128.77243824349054,-2.8547456800463284,-131.62718392353688
