Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-3.1541364192962646,-0.42370127238865329,-0.296670876450636,-3.8745085681355538
1,"11 Ag, Forestry, Fish & Hunting",0,-2.725829307210078E-05,-0.00035338106173638331,-0.00038063935480848413
20,21 Mining,0,-0.00026356702019394556,-0.00020931251992648676,-0.00047287954012043226
41,22 Utilities,0,0,0,0
52,23 Construction,0,-0.0015576520180248282,-0.00095789234517537169,-0.0025155443632001997
65,31-33 Manufacturing,0,-0.0028324877480587411,-0.00043754947996194169,-0.0032700372280206826
395,42 Wholesale Trade,-3.1541364192962646,-0.010233655533261919,-0.003674929402172262,-3.1680450042316988
396,44-45 Retail trade,0,-0.0029205325396196133,-0.043226643774684124,-0.046147176314303748
408,48-49 Transportation & Warehousing,0,-0.031685248149606486,-0.0096378935506821438,-0.041323141700288626
417,51-56 Professional Services,0,-0.20888714023284682,-0.056782144995285624,-0.26566928522813243
472,"61-81 Education, Health, Recreation Service",0,-0.053867576934919149,-0.15148303728142981,-0.20535061421634901
518,92 Government & non NAICs,0,-0.11142615391904964,-0.029908092039581839,-0.14133424595863148
