Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1197498.14983453,-77753.234970104168,-74949.061485194077,-1350200.4462898285
1,"11 Ag, Forestry, Fish & Hunting",0,-2.6678481856032361,-191.13594303569579,-193.80379122129898
20,21 Mining,0,-163.38386255612807,-221.07121228905052,-384.45507484517856
41,22 Utilities,0,-14.017136675698451,-39.097153236015942,-53.114289911714394
52,23 Construction,0,-63.731605082579371,-91.855209570382911,-155.58681465296229
65,31-33 Manufacturing,0,-7565.1847740636895,-7483.5672937792888,-15048.752067842979
395,42 Wholesale Trade,-1197498.14983453,-3573.2479320177808,-1919.3865881152451,-1202990.784354663
396,44-45 Retail trade,0,-60.117553061483477,-1281.1055317525611,-1341.2230848140448
408,48-49 Transportation & Warehousing,0,-2599.2580334952072,-1255.9391444868159,-3855.1971779820228
417,51-56 Professional Services,0,-62479.523221488511,-56238.044778563264,-118717.5680000518
472,"61-81 Education, Health, Recreation Service",0,-829.17683377822311,-6211.4252805256401,-7040.6021143038624
518,92 Government & non NAICs,0,-402.92616969926831,-16.433349840104839,-419.35951953937314
