Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-16.956390380859375,-0.60360817674317868,-0.45190553459241628,-18.011904092194968
1,"11 Ag, Forestry, Fish & Hunting",0,-8.0956473028935726E-05,-0.0028562189053722288,-0.0029371753784011643
20,21 Mining,0,-0.00061783344325498624,-0.00094681797253970326,-0.0015646514157946895
41,22 Utilities,0,-0.0016223880474128785,-0.0037009569072620975,-0.0053233449546749752
52,23 Construction,0,-0.0012164757899651112,-0.0011501923468523029,-0.0023666681368174139
65,31-33 Manufacturing,0,-0.0097552073342127826,-0.0023768522868933407,-0.012132059621106119
395,42 Wholesale Trade,-16.956390380859375,-0.031535227565075867,-0.012934677890798909,-17.000860286315248
396,44-45 Retail trade,0,-0.0045440073791794301,-0.086073535752505537,-0.090617543131684963
408,48-49 Transportation & Warehousing,0,-0.14823929001826655,-0.017010943621643314,-0.16525023363990987
417,51-56 Professional Services,0,-0.35243534320661646,-0.11549283240008942,-0.4679281756067058
472,"61-81 Education, Health, Recreation Service",0,-0.039294002450226857,-0.20892661608123037,-0.24822061853145719
518,92 Government & non NAICs,0,-0.014267445035938844,-0.00043589042722908211,-0.014703335463167926
