Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.6158519983291626,-0.077259168653978819,-0.03875298624953865,-1.73186415323268
1,"11 Ag, Forestry, Fish & Hunting",0,-8.2857425274396559E-05,-0.0028440185888616923,-0.0029268760141360891
20,21 Mining,0,-1.0784608603698022E-05,-3.3124706425748427E-05,-4.3909315029446447E-05
41,22 Utilities,0,-0.00022447539037252765,-0.00012539119592622347,-0.00034986658629875109
52,23 Construction,0,-8.5373042687166502E-05,-0.00011436836839642919,-0.00019974141108359568
65,31-33 Manufacturing,0,-0.0010073173011037294,-0.00034231290600291397,-0.0013496302071066434
395,42 Wholesale Trade,-1.6158519983291626,-0.0012324119683173602,-0.00048515017769905274,-1.617569560475179
396,44-45 Retail trade,0,-0.00041166720025178553,-0.0066913317027770952,-0.0071029989030288818
408,48-49 Transportation & Warehousing,0,-0.012699319861235712,-0.0020597023767895259,-0.014759022238025239
417,51-56 Professional Services,0,-0.051862127218572668,-0.0072057229323791066,-0.059067850150951777
472,"61-81 Education, Health, Recreation Service",0,-0.0042376299605418541,-0.018699378239792796,-0.02293700820033464
518,92 Government & non NAICs,0,-0.0054052046770179307,-0.00015248505448806768,-0.0055576897315059983
