Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-5.4716644287109375,-0.36391492493590333,-0.12402549122291312,-5.9596048448697525
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00018290201102831143,-0.0033210468130880568,-0.0035039488241163678
20,21 Mining,0,-0.0034725053361991929,-0.0028139449529200541,-0.0062864502891192466
41,22 Utilities,0,-0.0024404274785525932,-0.001815596201306804,-0.0042560236798593973
52,23 Construction,0,-0.00017842118248969651,-0.00015713861659608948,-0.00033555979908578596
65,31-33 Manufacturing,0,-0.0018868242568074178,-0.0015524924074984316,-0.0034393166643058486
395,42 Wholesale Trade,-5.4716644287109375,-0.041699825405563259,-0.012882987932255735,-5.5262472420487558
396,44-45 Retail trade,0,-0.0013987556604312971,-0.016771893329458644,-0.018170648989889935
408,48-49 Transportation & Warehousing,0,-0.076586058087290007,-0.01248631153061973,-0.08907236961790975
417,51-56 Professional Services,0,-0.21521345393031191,-0.033288029232014647,-0.24850148316232651
472,"61-81 Education, Health, Recreation Service",0,-0.010343436167969143,-0.038647220027813081,-0.048990656195782245
518,92 Government & non NAICs,0,-0.010512315419260551,-0.00028883017934184797,-0.010801145598602398
