Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.7060097455978394,-0.08124811602138643,-0.054999615019831874,-1.8422574766390578
1,"11 Ag, Forestry, Fish & Hunting",0,-1.0956700011606541E-05,-0.00056371792244598552,-0.00057467462245759215
20,21 Mining,0,-7.7012205359490833E-05,-7.5169054810883247E-05,-0.00015218126017037411
41,22 Utilities,0,-1.4747956384231214E-05,-2.4791715085631388E-05,-3.9539671469862604E-05
52,23 Construction,0,-0.00014687437989967242,-0.00013537583312694902,-0.00028225021302662147
65,31-33 Manufacturing,0,-0.00065503567927037388,-0.00016169891601564007,-0.0008167345952860139
395,42 Wholesale Trade,-1.7060097455978394,-0.0034829522775944913,-0.0010996994631741529,-1.7105923973386081
396,44-45 Retail trade,0,-0.00072915324969047464,-0.01102506589840592,-0.011754219148096393
408,48-49 Transportation & Warehousing,0,-0.010142938897732448,-0.0015528128797631467,-0.011695751777495595
417,51-56 Professional Services,0,-0.05793596677175239,-0.011963337535695125,-0.069899304307447521
472,"61-81 Education, Health, Recreation Service",0,-0.0050754866988420109,-0.02832656339812422,-0.033402050096966222
518,92 Government & non NAICs,0,-0.0029769912048492287,-7.1382403184217975E-05,-0.0030483736080334466
