Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-24.325481414794922,-1.749411088107419,-1.0731275601950914,-27.148020063097434
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00026547350237038527,-0.0075257274282490823,-0.0077912009306194659
20,21 Mining,0,-0.00038478209985234988,-0.00042694466701747636,-0.00081172676686982613
41,22 Utilities,0,0,0,0
52,23 Construction,0,-0.0024561277719014375,-0.0024302341703234661,-0.0048863619422249037
65,31-33 Manufacturing,0,-0.019295039317242763,-0.0097286804739840759,-0.029023719791226848
395,42 Wholesale Trade,-24.325481414794922,-0.12790830868086067,-0.05478752972014421,-24.508177253195928
396,44-45 Retail trade,0,-0.010238889782259359,-0.16451079766214191,-0.17474968744440128
408,48-49 Transportation & Warehousing,0,-0.39390460324738885,-0.086634273747559581,-0.48053887699494841
417,51-56 Professional Services,0,-1.0405449009511194,-0.31489018326523682,-1.3554350842163565
472,"61-81 Education, Health, Recreation Service",0,-0.076645353482520967,-0.42468500215599025,-0.50133035563851125
518,92 Government & non NAICs,0,-0.07776760927190278,-0.0075081869044444915,-0.085275796176347271
