Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-16.274311065673828,-2.1032862420730405,-1.8709769666947518,-20.248574274441619
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00020939105578149118,-0.0075731829890513169,-0.0077825740448328098
20,21 Mining,0,-0.00026298694019887534,-0.00038423741050983598,-0.00064722435070871138
41,22 Utilities,0,-0.0019733963954515817,-0.0056641329377070089,-0.0076375293331585907
52,23 Construction,0,-0.004177996016731432,-0.0047216753763128106,-0.0088996713930442426
65,31-33 Manufacturing,0,-0.036981219155083976,-0.0040314768684875596,-0.041012696023571528
395,42 Wholesale Trade,-16.274311065673828,-0.070918494297980167,-0.042540083721601861,-16.38776964369341
396,44-45 Retail trade,0,-0.013459967099650961,-0.31510544025295162,-0.32856540735260259
408,48-49 Transportation & Warehousing,0,-0.21332994793672078,-0.059261978593015359,-0.27259192652973613
417,51-56 Professional Services,0,-1.5374414175685587,-0.52288890750122385,-2.0603303250697826
472,"61-81 Education, Health, Recreation Service",0,-0.13242942407794792,-0.88912974109810949,-1.0215591651760574
518,92 Government & non NAICs,0,-0.092102001528934302,-0.019676109945781124,-0.11177811147471543
