Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-4.240138053894043,-0.25306741684272605,-0.15854699409869288,-4.6517524648354627
1,"11 Ag, Forestry, Fish & Hunting",0,-0.0002220380093563071,-0.0048330155193423265,-0.0050550535286986338
20,21 Mining,0,-8.752672800712578E-06,-3.6147374152341891E-06,-1.2367410215946768E-05
41,22 Utilities,0,-0.0081786384510723169,-0.0046245147028333546,-0.012803153153905669
52,23 Construction,0,-0.00028879964083594042,-0.00035395470977842692,-0.00064275435061436734
65,31-33 Manufacturing,0,-0.00083293615697668517,-0.00089409010087331269,-0.0017270262578499985
395,42 Wholesale Trade,-4.240138053894043,-0.0037808695647882679,-0.0015169420720614144,-4.2454358655308928
396,44-45 Retail trade,0,-0.0015697910935203274,-0.029695666844488034,-0.031265457938008362
408,48-49 Transportation & Warehousing,0,-0.018539256292427579,-0.0059462949608157104,-0.024485551253243285
417,51-56 Professional Services,0,-0.19236703097710514,-0.034606086717996733,-0.22697311769510187
472,"61-81 Education, Health, Recreation Service",0,-0.012256532028030374,-0.073494253913489585,-0.085750785941519955
518,92 Government & non NAICs,0,-0.015022771955812407,-0.0025785598195987459,-0.017601331775411153
