Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-644252.36765760498,-43408.0216566249,-37301.635104334324,-724962.02441856416
1,"11 Ag, Forestry, Fish & Hunting",0,-18.604140814568353,-408.69638586865227,-427.30052668322071
20,21 Mining,0,-1.9529912748996794,-1.0125119767188608,-2.9655032516185407
41,22 Utilities,0,-9068.4402080139316,-5125.3671587743265,-14193.80736678826
52,23 Construction,0,-24.353878555278062,-32.514246404706064,-56.868124959984129
65,31-33 Manufacturing,0,-120.21839378946447,-287.98502416738023,-408.20341795684476
395,42 Wholesale Trade,-644252.36765760498,-574.47048545826692,-230.48625021741299,-645057.32439328067
396,44-45 Retail trade,0,-108.67953955780757,-1817.4652413995564,-1926.1447809573638
408,48-49 Transportation & Warehousing,0,-2124.5219542245723,-859.95910021934469,-2984.4810544439174
417,51-56 Professional Services,0,-29295.613147940014,-24333.491748596312,-53629.104896536308
472,"61-81 Education, Health, Recreation Service",0,-726.0579877004252,-3900.4350733396936,-4626.493061040117
518,92 Government & non NAICs,0,-1345.108929295666,-304.2223633702223,-1649.3312926658882
