Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-55.3018798828125,-4.516255779175034,-2.859320448669517,-62.67745611065704
1,"11 Ag, Forestry, Fish & Hunting",0,-0.0013436313544756028,-0.035956934377417725,-0.037300565731893331
20,21 Mining,0,-0.00039378647582194405,-0.0006181518123202904,-0.0010119382881422342
41,22 Utilities,0,-0.031048664745323206,-0.032628711305466976,-0.063677376050790185
52,23 Construction,0,-0.0062550395675218451,-0.0069589419675124579,-0.013213981535034303
65,31-33 Manufacturing,0,-0.15817021390308339,-0.01404021438673129,-0.17221042828981442
395,42 Wholesale Trade,-55.3018798828125,-0.22305715192208592,-0.1253008336416534,-55.650237868376237
396,44-45 Retail trade,0,-0.017266606011631561,-0.42669872033036443,-0.44396532634199604
408,48-49 Transportation & Warehousing,0,-0.41263154198972574,-0.1371518259538293,-0.54978336794355509
417,51-56 Professional Services,0,-3.3061718380990164,-0.73008991901560139,-4.0362617571146187
472,"61-81 Education, Health, Recreation Service",0,-0.27168806557060982,-1.3196891955493015,-1.5913772611199111
518,92 Government & non NAICs,0,-0.088229239535738566,-0.03018700032931795,-0.11841623986505651
