Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-260.69485473632812,-40.608087806375444,-32.467782761733304,-333.77072530443695
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00058269994043196895,-0.013023137587250357,-0.013605837527682326
20,21 Mining,0,-0.0025277395618592256,-0.020441137533691176,-0.022968877095550407
41,22 Utilities,0,-0.043914631526068712,-0.11000778233913948,-0.15392241386520819
52,23 Construction,0,-0.076664844913222063,-0.086841160166359704,-0.16350600507958177
65,31-33 Manufacturing,0,-0.34910996682291079,-0.39680727220476647,-0.74591723902767726
395,42 Wholesale Trade,-260.69485473632812,-2.8198874218199079,-1.9113283037488928,-265.42607046189693
396,44-45 Retail trade,0,-0.17049024859047091,-4.5253587083758662,-4.6958489569663362
408,48-49 Transportation & Warehousing,0,-8.5476978689020964,-1.9525669004943769,-10.500264769396475
417,51-56 Professional Services,0,-24.142657870477414,-6.9231365265471867,-31.065794397024597
472,"61-81 Education, Health, Recreation Service",0,-2.3007242131060308,-16.246184949982197,-18.54690916308822
518,92 Government & non NAICs,0,-2.1538303007150312,-0.28208688275357274,-2.4359171834686038
