Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-52586541.6031342,-6610978.8947920101,-6085960.2840455547,-65283480.781971768
1,"11 Ag, Forestry, Fish & Hunting",0,-39.961542293995507,-1009.1272771633708,-1049.0888194573665
20,21 Mining,0,-2426.7154207001636,-8497.6525263028707,-10924.367947003033
41,22 Utilities,0,-43759.261032024078,-99423.018829274137,-143182.27986129822
52,23 Construction,0,-9281.3038201766103,-11103.105482605899,-20384.409302782507
65,31-33 Manufacturing,0,-153485.87175253982,-283266.2412038598,-436752.11295639939
395,42 Wholesale Trade,-52586541.6031342,-568818.76134695858,-385547.09306947025,-53540907.45755063
396,44-45 Retail trade,0,-7516.1711553120258,-230021.35832413816,-237537.5294794502
408,48-49 Transportation & Warehousing,0,-1135591.8666280215,-338042.64339130168,-1473634.5100193233
417,51-56 Professional Services,0,-4324495.3821249772,-3508868.4228647435,-7833363.8049897198
472,"61-81 Education, Health, Recreation Service",0,-159062.74037037033,-1198403.7701533183,-1357466.5105236888
518,92 Government & non NAICs,0,-206500.85959863573,-21777.850923377082,-228278.71052201284
