Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-563357.39065102499,-53213.158668978525,-39507.080921745262,-656077.63024174864
1,"11 Ag, Forestry, Fish & Hunting",0,-16.818184678499161,-167.17421891779455,-183.99240359629371
20,21 Mining,0,-27.167521417249308,-42.247171123491214,-69.414692540740532
41,22 Utilities,0,-137.26825450404914,-276.71717037059636,-413.9854248746455
52,23 Construction,0,-38.90590151739147,-44.464534725012136,-83.370436242403599
65,31-33 Manufacturing,0,-1210.7768103310848,-344.10530520331343,-1554.8821155343983
395,42 Wholesale Trade,-563357.39065102499,-1943.6033061541384,-789.83055163552399,-566090.82450881461
396,44-45 Retail trade,0,-132.72306072141916,-2371.2977241399685,-2504.0207848613882
408,48-49 Transportation & Warehousing,0,-7608.0686969779808,-1215.2952861934286,-8823.3639831714099
417,51-56 Professional Services,0,-38061.454287362474,-25428.729182134361,-63490.183469496827
472,"61-81 Education, Health, Recreation Service",0,-2150.0420467992617,-8669.9287056709672,-10819.97075247023
518,92 Government & non NAICs,0,-1886.3305985149771,-157.29107163080406,-2043.6216701457811
