county,table,sector,description,direct,indirect,induced,total
Alcona,Output,0,Total,-70669.656000000003,-12483.149232482339,-3346.3908257403705,-86499.196058222704
Alcona,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-3.1140231437622266,-9.0008495335434073,-12.114872677305634
Alcona,Output,20,21 Mining,0,-41.8039519359832,-8.8263335138171861,-50.630285449800397
Alcona,Output,41,22 Utilities,0,0,0,0
Alcona,Output,52,23 Construction,0,-578.45009860770153,-69.729296006369495,-648.17939461407104
Alcona,Output,65,31-33 Manufacturing,0,-38.301288627188391,-2.5602533532605314,-40.861541980448926
Alcona,Output,395,42 Wholesale Trade,-70669.656000000003,-1041.3499090862315,-117.25388507084159,-71828.259794157071
Alcona,Output,396,44-45 Retail trade,0,-177.25188425838377,-454.88470925056203,-632.13659350894579
Alcona,Output,408,48-49 Transportation & Warehousing,0,-2463.1782667298121,-106.21144689362987,-2569.3897136234418
Alcona,Output,417,51-56 Professional Services,0,-6836.8234287256819,-1533.5997815665646,-8370.4232102922451
Alcona,Output,472,"61-72 Educational, Health, Recreation Service",0,-1302.8763813675964,-1044.3242705517819,-2347.2006519193783
Alcona,Output,520,92 Government & non NAICs,0,0,0,0
Alcona,Employment,0,Total,-0.51801592111587524,-0.1547322072186364,-0.033716505306909672,-0.70646463364142131
Alcona,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-8.2122243499817299E-05,-0.00024306753839764572,-0.0003251897818974631
Alcona,Employment,20,21 Mining,0,-0.00026399273970240594,-5.5604119648909736E-05,-0.00031959685935131576
Alcona,Employment,41,22 Utilities,0,0,0,0
Alcona,Employment,52,23 Construction,0,-0.0044320256858720545,-0.00051202688815225905,-0.0049440525740243142
Alcona,Employment,65,31-33 Manufacturing,0,-0.00026529763523140736,-1.2677914927020119E-05,-0.00027797555015842746
Alcona,Employment,395,42 Wholesale Trade,-0.51801592111587524,-0.007633202942365116,-0.0008594831503964482,-0.52650860720863679
Alcona,Employment,396,44-45 Retail trade,0,-0.0025083124115827474,-0.0064119117825186924,-0.008920224194101439
Alcona,Employment,408,48-49 Transportation & Warehousing,0,-0.034055908983158002,-0.0012253634102062862,-0.035281272393364288
Alcona,Employment,417,51-56 Professional Services,0,-0.082773129740372625,-0.00728307892126935,-0.090056208661641948
Alcona,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.022718214836852223,-0.017113291581393065,-0.039831506418245281
Alcona,Employment,520,92 Government & non NAICs,0,0,0,0
Allegan,Output,0,Total,-1440262.8999999999,-282890.806998057,-199278.22417102946,-1922431.9311690864
Allegan,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-71.131903476090088,-1129.3799812152874,-1200.5118846913777
Allegan,Output,20,21 Mining,0,-561.52952163176997,-382.86017206981052,-944.38969370158065
Allegan,Output,41,22 Utilities,0,-6679.7036645173257,-3069.4067294674833,-9749.1103939848108
Allegan,Output,52,23 Construction,0,-9868.1703661421307,-4993.4435036638497,-14861.61386980598
Allegan,Output,65,31-33 Manufacturing,0,-9254.7849269630933,-7255.731255971953,-16510.516182935044
Allegan,Output,395,42 Wholesale Trade,-1440262.8999999999,-19006.212087523891,-6547.5399709605426,-1465816.6520584843
Allegan,Output,396,44-45 Retail trade,0,-2958.1547137261637,-22442.379696359912,-25400.534410086078
Allegan,Output,408,48-49 Transportation & Warehousing,0,-40402.430053943412,-5005.2470897124304,-45407.677143655841
