Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-0.51801592111587524,-0.1547322072186364,-0.033716505306909672,-0.70646463364142131
1,"11 Ag, Forestry, Fish & Hunting",0,-8.2122243499817299E-05,-0.00024306753839764572,-0.0003251897818974631
20,21 Mining,0,-0.00026399273970240594,-5.5604119648909736E-05,-0.00031959685935131576
41,22 Utilities,0,0,0,0
52,23 Construction,0,-0.0044320256858720545,-0.00051202688815225905,-0.0049440525740243142
65,31-33 Manufacturing,0,-0.00026529763523140736,-1.2677914927020119E-05,-0.00027797555015842746
395,42 Wholesale Trade,-0.51801592111587524,-0.007633202942365116,-0.0008594831503964482,-0.52650860720863679
396,44-45 Retail trade,0,-0.0025083124115827474,-0.0064119117825186924,-0.008920224194101439
408,48-49 Transportation & Warehousing,0,-0.034055908983158002,-0.0012253634102062862,-0.035281272393364288
417,51-56 Professional Services,0,-0.082773129740372625,-0.00728307892126935,-0.090056208661641948
472,"61-72 Educational, Health, Recreation Service",0,-0.022718214836852223,-0.017113291581393065,-0.039831506418245281
520,92 Government & non NAICs,0,0,0,0
