Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-9.2157402038574219,-3.3096123967754387,-3.4429660122895682,-15.968318612922428
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00028160529002983,-0.0020826243034174326,-0.0023642295934472621
20,21 Mining,0,-0.00054663487261777995,-0.0004255958808576034,-0.00097223075347538325
41,22 Utilities,0,-0.022844430545921474,-0.01504961777919951,-0.037894048325120992
52,23 Construction,0,-0.055405473795700148,-0.030397317873719319,-0.085802791669419468
65,31-33 Manufacturing,0,-0.083734094373443285,-0.0091379467482777133,-0.092872041121720997
395,42 Wholesale Trade,-9.2157402038574219,-0.21022076756921163,-0.092717881098252672,-9.5186788525248858
396,44-45 Retail trade,0,-0.061254712935494844,-0.60875956242243945,-0.67001427535793445
408,48-49 Transportation & Warehousing,0,-0.48460081558396251,-0.066327232324255525,-0.55092804790821814
417,51-56 Professional Services,0,-1.8520447047238382,-0.59895514487820845,-2.4509998496020464
472,"61-72 Educational, Health, Recreation Service",0,-0.52662675440539508,-2.0076331840114143,-2.5342599384168096
520,92 Government & non NAICs,0,-0.012052402679823604,-0.011479904969525924,-0.023532307649349528
