Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-0.69417059421539307,-0.30197680215780337,-0.086936148212548331,-1.083083544585745
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00011839137030124088,-0.00072178729803121569,-0.00084017866833245667
20,21 Mining,0,-0.00023929185334143458,-8.847906284097219E-05,-0.00032777091618240681
41,22 Utilities,0,-0.00017891138311248737,-0.00014319128806710208,-0.00032210267117958945
52,23 Construction,0,-0.007974266861300025,-0.0016484740479721007,-0.0096227409092721258
65,31-33 Manufacturing,0,-0.00066591293178055251,-5.5837068731946791E-05,-0.00072175000051249939
395,42 Wholesale Trade,-0.69417059421539307,-0.0070793152938084195,-0.0012894899993759039,-0.70253939950857747
396,44-45 Retail trade,0,-0.0041248052257489062,-0.01515328606241694,-0.019278091288165843
408,48-49 Transportation & Warehousing,0,-0.028620698149928969,-0.0008078823900010254,-0.029428580539929992
417,51-56 Professional Services,0,-0.2007942103790637,-0.020971441000858376,-0.22176565137992213
472,"61-72 Educational, Health, Recreation Service",0,-0.052180998709417621,-0.046056279994252755,-0.098237278703670397
520,92 Government & non NAICs,0,0,0,0
