Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-9.3807392120361328,-3.33220289751885,-4.1971728570974847,-16.910114966652465
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00022188528632432065,-0.0015939192288288051,-0.0018158045151531253
20,21 Mining,0,-0.0036871402393846803,-0.00042325625955932591,-0.0041103964989440064
41,22 Utilities,0,-0.0080622919184577743,-0.0071953788798703299,-0.015257670798328106
52,23 Construction,0,-0.05287321700103028,-0.035114456242769425,-0.087987673243799705
65,31-33 Manufacturing,0,-0.10457304719613102,-0.011679666713783621,-0.11625271390991469
395,42 Wholesale Trade,-9.3807392120361328,-0.16449434529574292,-0.096121902623329883,-9.6413554599552054
396,44-45 Retail trade,0,-0.052050648164032473,-0.70400439311546159,-0.75605504127949408
408,48-49 Transportation & Warehousing,0,-0.62312789102749278,-0.087317143374639528,-0.71044503440213225
417,51-56 Professional Services,0,-1.8149580675197581,-0.57157087740978318,-2.386528944929541
472,"61-72 Educational, Health, Recreation Service",0,-0.50815436387049551,-2.6821518632494592,-3.1903062271199545
520,92 Government & non NAICs,0,0,0,0
