Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-2359911,-428293.96563153761,-480460.34969352779,-3268665.315325066
1,"11 Ag, Forestry, Fish & Hunting",0,-17.63245615712173,-99.274925633449286,-116.90738179057102
20,21 Mining,0,-621.75470079134766,-68.794281980313812,-690.54898277166137
41,22 Utilities,0,-10914.508380413543,-8829.7418301387224,-19744.250210552262
52,23 Construction,0,-8236.2644337944366,-5733.4579584627627,-13969.722392257199
65,31-33 Manufacturing,0,-17574.776019830253,-2742.3932074728727,-20317.169227303126
395,42 Wholesale Trade,-2359911,-41381.815477252007,-24181.371283794306,-2425474.1867610463
396,44-45 Retail trade,0,-4008.9396286192323,-54889.798456172299,-58898.738084791534
408,48-49 Transportation & Warehousing,0,-82848.63436742904,-12303.192941375608,-95151.82730880467
417,51-56 Professional Services,0,-229823.75045265848,-173641.95575163671,-403465.70620429522
472,"61-72 Educational, Health, Recreation Service",0,-32865.889714592166,-197970.36905686071,-230836.25877145288
520,92 Government & non NAICs,0,0,0,0
