Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-3.325214147567749,-1.0547942329392295,-0.58640309597397922,-4.9664114764809577
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00017011884894314758,-0.001507196259983395,-0.0016773151089265429
20,21 Mining,0,-0.00027275443736191263,-0.00017743241742024596,-0.00045018685478215862
41,22 Utilities,0,-0.0052383541945021589,-0.0022147162955651945,-0.0074530704900673539
52,23 Construction,0,-0.027405408934084687,-0.0078505821078961903,-0.035255991041980878
65,31-33 Manufacturing,0,-0.0079588554395587652,-0.00055822306131777307,-0.008517078500876539
395,42 Wholesale Trade,-3.325214147567749,-0.068117553000432998,-0.022516071021045265,-3.4158477715892275
396,44-45 Retail trade,0,-0.011344112858358478,-0.087778234186623227,-0.099122347044981698
408,48-49 Transportation & Warehousing,0,-0.17969000364468152,-0.019092284819705402,-0.19878228846438689
417,51-56 Professional Services,0,-0.59793188612157877,-0.13564475757409292,-0.73357664369567155
472,"61-72 Educational, Health, Recreation Service",0,-0.15666518545972707,-0.30906359823032958,-0.46572878369005671
520,92 Government & non NAICs,0,0,0,0
