Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-134765.54999999999,-28960.487456469167,-16797.988200573338,-180524.02565704248
1,"11 Ag, Forestry, Fish & Hunting",0,-2.8312535348759353,-42.361803777384679,-45.193057312260635
20,21 Mining,0,-12.453240651974896,-6.7461844882256683,-19.199425140200567
41,22 Utilities,0,-1919.7639974587944,-731.57765025445087,-2651.3416477132455
52,23 Construction,0,-1111.2777114080293,-383.43675062286343,-1494.7144620308927
65,31-33 Manufacturing,0,-156.50673297686271,-19.58286189811917,-176.08959487498194
395,42 Wholesale Trade,-134765.54999999999,-978.79480115175829,-279.91172467632509,-136024.25652582807
396,44-45 Retail trade,0,-314.50138857428664,-1876.2374403026881,-2190.7388288769744
408,48-49 Transportation & Warehousing,0,-3510.3349412695707,-307.17313685702862,-3817.5080781265997
417,51-56 Professional Services,0,-18559.356992335266,-7186.5985435891052,-25745.95553592436
472,"61-72 Educational, Health, Recreation Service",0,-2394.666397107746,-5964.3621041071456,-8359.0285012148906
520,92 Government & non NAICs,0,0,0,0
