Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-6.3793525695800781,-2.189471413555748,-0.54535209115236893,-9.1141760742881939
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00047469475805587166,-0.0015173023808057031,-0.0019919971388615743
20,21 Mining,0,-0.0039781660617480155,-0.00091552926029413737,-0.0048936953220421534
41,22 Utilities,0,-0.011379719656377952,-0.0023397069955218555,-0.013719426651899807
52,23 Construction,0,-0.026468255224514001,-0.0052831384457516697,-0.031751393670265672
65,31-33 Manufacturing,0,-0.022372340295168089,-0.00068727707258564922,-0.023059617367753742
395,42 Wholesale Trade,-6.3793525695800781,-0.29802072616744141,-0.039187940258262881,-6.7165612360057816
396,44-45 Retail trade,0,-0.035120145161547857,-0.12876744128229661,-0.16388758644384449
408,48-49 Transportation & Warehousing,0,-0.47556442987266057,-0.015304974283868858,-0.49086940415652947
417,51-56 Professional Services,0,-0.93758795442828069,-0.08945666617310194,-1.0270446206013826
472,"61-72 Educational, Health, Recreation Service",0,-0.30826478714434646,-0.24678487544700564,-0.55504966259135224
520,92 Government & non NAICs,0,-0.070240194785607182,-0.015107239552873922,-0.085347434338481104
