Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-862751.93999999994,-230167.78020747771,-63176.371996321235,-1156096.0922037992
1,"11 Ag, Forestry, Fish & Hunting",0,-22.095681745251682,-81.376235561386281,-103.47191730663795
20,21 Mining,0,-653.38221418685532,-160.06261269668053,-813.44482688353582
41,22 Utilities,0,-13262.618565872208,-2533.8953856874491,-15796.513951559658
52,23 Construction,0,-3432.1987840332927,-711.1330578654464,-4143.3318418987392
65,31-33 Manufacturing,0,-2834.73597760657,-175.78233274453859,-3010.5183103511099
395,42 Wholesale Trade,-862751.93999999994,-40304.709286551457,-5299.8278339897106,-908356.47712054115
396,44-45 Retail trade,0,-2419.4134976629971,-9196.9916672686632,-11616.405164931661
408,48-49 Transportation & Warehousing,0,-50758.14549209008,-1742.5857059755031,-52500.731198065587
417,51-56 Professional Services,0,-81682.430418501812,-25189.698937588746,-106872.12935609061
472,"61-72 Educational, Health, Recreation Service",0,-19370.402849378235,-14807.22046538275,-34177.623314760989
520,92 Government & non NAICs,0,-15427.64743984895,-3277.7977615603586,-18705.445201409308
