Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-2.6890480518341064,-1.2129433568387322,-0.38589631275031766,-4.2878877214231563
1,"11 Ag, Forestry, Fish & Hunting",0,-0.0006658858458997121,-0.0028823262184473979,-0.0035482120643471103
20,21 Mining,0,-0.0015981307722223704,-0.00037646422438293678,-0.0019745949966053075
41,22 Utilities,0,-0.0047039779532537292,-0.0016939319541346858,-0.0063979099073884138
52,23 Construction,0,-0.027809009131018983,-0.0063151514021341426,-0.034124160533153126
65,31-33 Manufacturing,0,-0.0096368908021873707,-0.00036030741554042583,-0.0099971982177277981
395,42 Wholesale Trade,-2.6890480518341064,-0.075174407250975628,-0.013985264053201951,-2.778207723138284
396,44-45 Retail trade,0,-0.016697358640043045,-0.061988577107862125,-0.078685935747905181
408,48-49 Transportation & Warehousing,0,-0.22213696614223191,-0.012901179297635308,-0.23503814543986723
417,51-56 Professional Services,0,-0.68670542391619416,-0.084792072093517301,-0.77149749600971163
472,"61-72 Educational, Health, Recreation Service",0,-0.16781530638470552,-0.20060103898346138,-0.36841634536816692
520,92 Government & non NAICs,0,0,0,0
