Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-392926,-101278.67971703628,-37615.847033564729,-531820.52675060101
1,"11 Ag, Forestry, Fish & Hunting",0,-27.495712299279212,-105.58808140680792,-133.08379370608714
20,21 Mining,0,-219.53251899224051,-56.130917998163859,-275.66343699040442
41,22 Utilities,0,-5237.8302247485262,-1502.3485517825789,-6740.1787765311046
52,23 Construction,0,-3669.4927259034012,-871.57064323840177,-4541.0633691418034
65,31-33 Manufacturing,0,-1383.4687309352157,-59.925263392043234,-1443.393994327259
395,42 Wholesale Trade,-392926,-10984.549076557159,-2043.5388180465341,-405954.08789460367
396,44-45 Retail trade,0,-1222.9784318957841,-4488.5484757316372,-5711.5269076274217
408,48-49 Transportation & Warehousing,0,-18426.534917060169,-1281.6076266613513,-19708.142543721522
417,51-56 Professional Services,0,-51346.242783472211,-15610.406800339044,-66956.649583811261
472,"61-72 Educational, Health, Recreation Service",0,-8760.5545951722852,-11596.181854968167,-20356.736450140459
520,92 Government & non NAICs,0,0,0,0
