Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-0.84602922201156616,-0.34615984129006105,-0.21198036551699595,-1.4041694288186233
1,"11 Ag, Forestry, Fish & Hunting",0,-1.1494552159253213E-08,-0.00011975978966930376,-0.00011977128422146302
20,21 Mining,0,-0.0011303188887598742,-0.00042616461560347768,-0.0015564835043633519
41,22 Utilities,0,-0.00020338280057127187,-0.00020585394018967905,-0.00040923674076095095
52,23 Construction,0,-0.0083898676526589014,-0.0033034812161883338,-0.011693348868847237
65,31-33 Manufacturing,0,-0.0030596410249813509,-0.00024922731444827534,-0.0033088683394296272
395,42 Wholesale Trade,-0.84602922201156616,-0.013767553362746906,-0.0046572208112181761,-0.86445399618553131
396,44-45 Retail trade,0,-0.0045718418698011713,-0.032634255897282277,-0.037206097767083453
408,48-49 Transportation & Warehousing,0,-0.068672361404856358,-0.004286177898275202,-0.07295853930313155
417,51-56 Professional Services,0,-0.20009550004783328,-0.04135110497266687,-0.24144660502050014
472,"61-72 Educational, Health, Recreation Service",0,-0.046269362743299777,-0.12474711906145435,-0.1710164818047541
520,92 Government & non NAICs,0,0,0,0
