Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-156411.23000000001,-32098.98049788913,-21962.801371536247,-210473.01186942536
1,"11 Ag, Forestry, Fish & Hunting",0,-0.0010235493849245496,-5.948057072775577,-5.9490806221605013
20,21 Mining,0,-133.51329721676152,-61.34904819592537,-194.86234541268689
41,22 Utilities,0,-117.43583864377055,-118.86270636650012,-236.29854501027069
52,23 Construction,0,-1117.6648153001993,-463.50216325214501,-1581.1669785523443
65,31-33 Manufacturing,0,-511.76044948990585,-57.350006133086957,-569.1104556229925
395,42 Wholesale Trade,-156411.23000000001,-2545.3019852721773,-861.01234288438627,-159817.54432815657
396,44-45 Retail trade,0,-317.47752982761648,-2387.1647017879941,-2704.6422316156104
408,48-49 Transportation & Warehousing,0,-6677.8516856752922,-353.04340875331417,-7030.8950944286071
417,51-56 Professional Services,0,-18403.519951366758,-8655.5525149341356,-27059.072466300891
472,"61-72 Educational, Health, Recreation Service",0,-2274.4539215472655,-8999.0164221559826,-11273.470343703244
520,92 Government & non NAICs,0,0,0,0
