Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-302866.03000000003,-53214.623130938664,-47411.361623861143,-403492.01475479978
1,"11 Ag, Forestry, Fish & Hunting",0,-5.1626782703479348,-39.342386697883512,-44.505064968231444
20,21 Mining,0,-31.992869046473743,-28.963085136440604,-60.955954182914354
41,22 Utilities,0,-849.37090562990204,-528.290214852031,-1377.6611204819333
52,23 Construction,0,-1554.9744078105673,-830.28419046872841,-2385.2585982792957
65,31-33 Manufacturing,0,-629.39596505172096,-101.6172177622687,-731.01318281398972
395,42 Wholesale Trade,-302866.03000000003,-3348.2539522814914,-1259.4274239309718,-307473.71137621248
396,44-45 Retail trade,0,-716.87395075037057,-6866.5359975841429,-7583.4099483345126
408,48-49 Transportation & Warehousing,0,-11892.106085559568,-1509.4967780734714,-13401.602863633041
417,51-56 Professional Services,0,-28295.34555325871,-18408.506006014224,-46703.851559272924
472,"61-72 Educational, Health, Recreation Service",0,-5891.1467632795138,-17838.898323340978,-23730.045086620492
520,92 Government & non NAICs,0,0,0,0
