Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-452791.71999999997,-74221.534258017666,-63088.313680127787,-590101.56793814537
1,"11 Ag, Forestry, Fish & Hunting",0,-6.0176214343077978,-200.49322575955225,-206.51084719386003
20,21 Mining,0,-91.188462251795087,-59.733647859893956,-150.92211011168902
41,22 Utilities,0,-4975.2069375489837,-2814.8788265944136,-7790.0857641433977
52,23 Construction,0,-2215.0932665086643,-1178.9052757546804,-3393.9985422633445
65,31-33 Manufacturing,0,-3035.1955252691969,-833.62742042340597,-3868.8229456926028
395,42 Wholesale Trade,-452791.71999999997,-6544.546803812962,-2536.3561389184188,-461872.62294273137
396,44-45 Retail trade,0,-911.19348859196748,-8816.967430171715,-9728.1609187636841
408,48-49 Transportation & Warehousing,0,-16197.700432179865,-2106.3761390682639,-18304.07657124813
417,51-56 Professional Services,0,-34048.328517440685,-24404.963340161299,-58453.291857601987
472,"61-72 Educational, Health, Recreation Service",0,-6197.0632029792541,-20136.012235416139,-26333.075438395397
520,92 Government & non NAICs,0,0,0,0
