Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-2.0568807125091553,-0.6958851783773643,-0.63553135879667455,-3.3882972496831942
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00011104273723180735,-0.00057408913742011333,-0.00068513187465192072
20,21 Mining,0,-0.00023530793773926531,-0.00017841419060528281,-0.00041372212834454809
41,22 Utilities,0,-1.0852905995996284E-05,-1.8137243851448294E-05,-2.8990149847444578E-05
52,23 Construction,0,-0.014653566963997059,-0.0074102908199934099,-0.022063857783990469
65,31-33 Manufacturing,0,-0.0020770837624442878,-0.00047957216710640006,-0.0025566559295506883
395,42 Wholesale Trade,-2.0568807125091553,-0.02284178545543147,-0.010811591761717584,-2.0905340897263045
396,44-45 Retail trade,0,-0.0098223532947508217,-0.12871005656961818,-0.13853240986436902
408,48-49 Transportation & Warehousing,0,-0.1217434728696157,-0.020135794017406054,-0.14187926688702177
417,51-56 Professional Services,0,-0.40967627945610902,-0.11725438097152459,-0.52693066042763348
472,"61-72 Educational, Health, Recreation Service",0,-0.11417564068082114,-0.34939014089738635,-0.46356578157820749
520,92 Government & non NAICs,0,-0.00053779231322770478,-0.00056889102004507603,-0.0011066833332727807
