Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.4831268787384033,-0.7266667088619706,-0.47599422364258526,-2.685787811242959
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00037548293221167619,-0.0021056994452009581,-0.0024811823774126343
20,21 Mining,0,-0.00035149418252099847,-0.00018311962818658717,-0.00053461381070758556
41,22 Utilities,0,-0.00080801947637991695,-0.00046811921643027661,-0.0012761386928101933
52,23 Construction,0,-0.016765677355936294,-0.007016857250307265,-0.02378253460624356
65,31-33 Manufacturing,0,-0.0088503897570483946,-0.001179680157493036,-0.01003006991454143
395,42 Wholesale Trade,-1.4831268787384033,-0.015349640337263796,-0.0054099499143392899,-1.5038864689900062
396,44-45 Retail trade,0,-0.01192364032323512,-0.08082085384879964,-0.092744494172034772
408,48-49 Transportation & Warehousing,0,-0.10740238077873637,-0.00728005179258015,-0.11468243257131652
417,51-56 Professional Services,0,-0.4273552422894446,-0.095621662829779755,-0.52297690511922457
472,"61-72 Educational, Health, Recreation Service",0,-0.11224394038375896,-0.26728065735465245,-0.3795245977384113
520,92 Government & non NAICs,0,-0.025240801045434469,-0.0086275722048158657,-0.033868373250250335
