Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-0.34424740076065063,-0.080323222506961597,-0.024149739771867358,-0.4487203630394796
1,"11 Ag, Forestry, Fish & Hunting",0,-4.8443131041197143E-05,-0.0003069284254907263,-0.00035537155653192341
20,21 Mining,0,-4.2503796992179155E-06,-3.2172485932687084E-06,-7.467628292486623E-06
41,22 Utilities,0,-6.7098533745103643E-05,-1.4798643429107957E-05,-8.18971771742116E-05
52,23 Construction,0,-0.002295553675495048,-0.00036972317303787382,-0.0026652768485329217
65,31-33 Manufacturing,0,-0.00014735946349137065,-1.9124798616592899E-05,-0.00016648426210796351
395,42 Wholesale Trade,-0.34424740076065063,-0.0015090714734640324,-0.00022987661957311445,-0.34598634885368779
396,44-45 Retail trade,0,-0.0012960788556534064,-0.0054972722397763291,-0.0067933510954297331
408,48-49 Transportation & Warehousing,0,-0.015755581175591629,-0.00027499819822134807,-0.016030579373812977
417,51-56 Professional Services,0,-0.043970117065104612,-0.003590070992028687,-0.047560188057133301
472,"61-72 Educational, Health, Recreation Service",0,-0.015229668753675967,-0.013843729433100312,-0.029073398186776286
520,92 Government & non NAICs,0,0,0,0
