Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-0.70731520652770996,-0.24460942564290444,-0.14572420670459857,-1.097648838875213
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00010974043202681747,-0.00083195680431512136,-0.00094169723634193888
20,21 Mining,0,-0.0012688886098288826,-0.00045340826700889859,-0.0017222968768377811
41,22 Utilities,0,-0.00034548366274233622,-0.00017758271246575341,-0.00052306637520808962
52,23 Construction,0,-0.0023964984035049356,-0.00082604409332789593,-0.0032225424968328315
65,31-33 Manufacturing,0,-0.00072905127292158115,-9.673975758335584E-05,-0.00082579103050493688
395,42 Wholesale Trade,-0.70731520652770996,-0.0096208299964319673,-0.002738496355164574,-0.71967453287930649
396,44-45 Retail trade,0,-0.0034841976675609922,-0.028968791886385632,-0.032452989553946626
408,48-49 Transportation & Warehousing,0,-0.059455859829511869,-0.0043202937925740916,-0.063776153622085954
417,51-56 Professional Services,0,-0.11660437952982632,-0.024671804712031804,-0.14127618424185814
472,"61-72 Educational, Health, Recreation Service",0,-0.031768047640590789,-0.077272921611571066,-0.10904096925216185
520,92 Government & non NAICs,0,-0.018826448597957918,-0.005366166712170389,-0.024192615310128306
